,MARITAL_STATUS,EDUCATION_LEVEL,RESIDENTAL_STATUS,LOAN_AMOUNT,INCOME,GENDER,NUMBER_OF_PRIOR_LOANS,AGE,TENURE,PRESENT_EMPLOYMENT_SINCE,FAMILY_SIZE,OCCUPATION
44990,Single,Master's Degree,Tenant,55000.0,2750.0,Male,0.0,59.0,13.0,Less Than Seven Years,2.0,Professional
9425,Married,Primary School Grad,Tenant,35000.0,500.0,Female,0.0,46.0,31.0,Less Than Seven Years,7.0,Farmer
68711,Married,Bachelor's Degree,Tenant,30000.0,2150.0,Male,2.0,57.0,5.0,More Than Seven Years,4.0,Worker
26425,Married,Bachelor's Degree,Tenant,25000.0,2150.0,Female,1.0,39.0,36.0,More Than Seven Years,4.0,Farmer
11294,Divorced,Bachelor's Degree,Owner,45000.0,5250.0,Female,1.0,43.0,8.0,Less Than Four Years,3.0,Manager
16304,Married,Master's Degree,Tenant,35000.0,2150.0,Male,0.0,37.0,12.0,Unemployed,2.0,Manager
35233,Single,Bachelor's Degree,Tenant,20000.0,6250.0,Female,2.0,35.0,10.0,Unemployed,4.0,Professional
54545,Single,Master's Degree,Tenant,15000.0,2750.0,Male,1.0,54.0,88.0,Less Than Four Years,3.0,Clerical
14274,Married,Bachelor's Degree,Tenant,15000.0,6250.0,Male,0.0,27.0,2.0,Less Than Seven Years,4.0,Professional
7848,Single,Primary School Grad,Tenant,45000.0,500.0,Female,3.0,46.0,8.0,Unemployed,4.0,Clerical
48380,Single,Bachelor's Degree,Owner,30000.0,4250.0,Male,3.0,47.0,33.0,Unemployed,7.0,Professional
25025,Married,Doctorate Degree,Tenant,15000.0,3750.0,Female,0.0,44.0,4.0,Less Than Seven Years,2.0,Manager
97516,Single,Bachelor's Degree,Tenant,45000.0,2750.0,Female,3.0,39.0,15.0,More Than Seven Years,4.0,Manager
68047,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Female,1.0,42.0,3.0,Less Than Seven Years,7.0,Farmer
15248,Single,Primary School Grad,Family Home,20000.0,500.0,Female,2.0,39.0,10.0,Less Than Seven Years,3.0,Technician
97935,Married,Bachelor's Degree,Tenant,25000.0,2150.0,Male,0.0,59.0,6.0,Less Than Seven Years,4.0,Farmer
70027,Single,Primary School Grad,Family Home,40000.0,500.0,Female,0.0,25.0,65.0,Less Than Seven Years,7.0,Technician
67853,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Female,1.0,38.0,4.0,Less Than One Year,5.0,Professional
7086,Divorced,Primary School Grad,Tenant,105000.0,500.0,Female,2.0,53.0,4.0,Less Than Four Years,3.0,Clerical
84105,Single,Master's Degree,Tenant,35000.0,2750.0,Female,2.0,50.0,23.0,Unemployed,3.0,Technician
10082,Married,Bachelor's Degree,Tenant,25000.0,2150.0,Male,1.0,63.0,2.0,More Than Seven Years,6.0,Technician
66691,Married,Bachelor's Degree,Owner,45000.0,4250.0,Female,2.0,54.0,69.0,Less Than Seven Years,3.0,Professional
2486,Divorced,Doctorate Degree,Owner,10000.0,3750.0,Female,2.0,54.0,4.0,Less Than Four Years,3.0,Manager
82249,Married,Bachelor's Degree,Owner,10000.0,5250.0,Female,2.0,39.0,2.0,Unemployed,3.0,Professional
91294,Single,Doctorate Degree,Tenant,45000.0,3750.0,Female,1.0,18.0,36.0,More Than Seven Years,2.0,Professional
59072,Divorced,Master's Degree,Tenant,35000.0,2150.0,Male,2.0,19.0,38.0,Less Than Four Years,2.0,Army
22948,Single,Master's Degree,Tenant,30000.0,2750.0,Female,0.0,42.0,11.0,Less Than Seven Years,2.0,Farmer
55673,Married,Master's Degree,Tenant,10000.0,2750.0,Female,0.0,30.0,38.0,More Than Seven Years,3.0,Farmer
19381,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Female,1.0,18.0,2.0,Unemployed,4.0,Clerical
19551,Married,Primary School Grad,Family Home,30000.0,500.0,Male,3.0,29.0,10.0,Less Than One Year,3.0,Technician
13541,Divorced,Primary School Grad,Tenant,30000.0,500.0,Female,1.0,54.0,9.0,Less Than Seven Years,6.0,Army
93147,Married,Bachelor's Degree,Owner,15000.0,4250.0,Female,2.0,27.0,13.0,Less Than Seven Years,3.0,Manager
69928,Married,Bachelor's Degree,Tenant,95000.0,2150.0,Female,2.0,25.0,10.0,Less Than Four Years,5.0,Worker
93150,Married,Master's Degree,Tenant,25000.0,2150.0,Male,3.0,63.0,3.0,Less Than Four Years,3.0,Manager
55989,Married,Primary School Grad,Family Home,35000.0,500.0,Female,3.0,27.0,38.0,Less Than One Year,4.0,Professional
18847,Married,Master's Degree,Tenant,20000.0,3750.0,Male,0.0,63.0,11.0,Unemployed,7.0,Clerical
90720,Married,Bachelor's Degree,Owner,35000.0,5250.0,Female,1.0,63.0,48.0,Less Than One Year,7.0,Manager
84766,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Female,2.0,38.0,20.0,Less Than Four Years,4.0,Technician
74408,Married,Primary School Grad,Tenant,35000.0,500.0,Male,1.0,45.0,16.0,Less Than Seven Years,2.0,Army
89506,Married,Master's Degree,Tenant,55000.0,2750.0,Female,0.0,29.0,15.0,Less Than Four Years,3.0,Army
8859,Married,Bachelor's Degree,Owner,15000.0,6250.0,Female,0.0,19.0,37.0,Less Than Four Years,4.0,Professional
32328,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,3.0,60.0,2.0,Less Than Four Years,4.0,Professional
34959,Married,Bachelor's Degree,Owner,40000.0,6250.0,Female,0.0,29.0,84.0,Less Than Four Years,3.0,Manager
9921,Divorced,Bachelor's Degree,Tenant,70000.0,5250.0,Male,3.0,43.0,24.0,More Than Seven Years,4.0,Professional
45784,Married,Doctorate Degree,Tenant,40000.0,3750.0,Male,1.0,24.0,8.0,Less Than One Year,2.0,Manager
72204,Married,Bachelor's Degree,Owner,15000.0,4250.0,Male,2.0,46.0,36.0,More Than Seven Years,3.0,Manager
78894,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,1.0,25.0,11.0,Less Than One Year,4.0,Worker
83990,Married,Primary School Grad,Family Home,35000.0,500.0,Female,2.0,44.0,15.0,Less Than Seven Years,2.0,Clerical
40931,Married,Bachelor's Degree,Owner,45000.0,6250.0,Female,2.0,28.0,21.0,Unemployed,2.0,Professional
49832,Divorced,Primary School Grad,Tenant,85000.0,500.0,Male,3.0,48.0,39.0,More Than Seven Years,2.0,Manager
23977,Married,Master's Degree,Tenant,50000.0,2750.0,Male,1.0,26.0,12.0,Less Than Four Years,3.0,Farmer
63001,Single,Bachelor's Degree,Owner,30000.0,6250.0,Male,1.0,65.0,36.0,Less Than Four Years,7.0,Manager
88222,Married,Bachelor's Degree,Tenant,45000.0,2150.0,Female,3.0,29.0,11.0,More Than Seven Years,5.0,Manager
12818,Married,Bachelor's Degree,Tenant,20000.0,6250.0,Male,2.0,38.0,15.0,More Than Seven Years,4.0,Manager
38677,Married,Bachelor's Degree,Owner,35000.0,6250.0,Female,1.0,63.0,50.0,Less Than One Year,4.0,Manager
90202,Married,Master's Degree,Tenant,40000.0,3750.0,Male,0.0,69.0,38.0,Less Than Seven Years,4.0,Farmer
31385,Married,Bachelor's Degree,Tenant,40000.0,2150.0,Female,2.0,40.0,34.0,Less Than One Year,6.0,Manager
38015,Single,Bachelor's Degree,Tenant,30000.0,5250.0,Female,0.0,36.0,25.0,Less Than One Year,4.0,Manager
91197,Married,Bachelor's Degree,Tenant,80000.0,2750.0,Male,1.0,32.0,12.0,Unemployed,7.0,Professional
40088,Single,Bachelor's Degree,Owner,35000.0,4250.0,Female,1.0,47.0,27.0,More Than Seven Years,4.0,Manager
56733,Married,Bachelor's Degree,Tenant,50000.0,2750.0,Male,0.0,68.0,38.0,Less Than One Year,4.0,Manager
20431,Single,Bachelor's Degree,Tenant,10000.0,2150.0,Male,3.0,59.0,17.0,Less Than Seven Years,4.0,Worker
88540,Single,Master's Degree,Tenant,85000.0,2750.0,Male,0.0,49.0,1.0,Unemployed,3.0,Manager
46910,Married,Master's Degree,Tenant,35000.0,3750.0,Male,3.0,54.0,16.0,Unemployed,5.0,Army
34629,Single,Master's Degree,Tenant,50000.0,3750.0,Female,1.0,27.0,18.0,Less Than One Year,6.0,Farmer
95298,Married,Bachelor's Degree,Tenant,40000.0,4250.0,Female,1.0,20.0,37.0,More Than Seven Years,3.0,Professional
18706,Married,Bachelor's Degree,Owner,40000.0,6250.0,Male,0.0,40.0,10.0,Less Than Four Years,2.0,Manager
10095,Married,Primary School Grad,Family Home,35000.0,500.0,Female,2.0,36.0,30.0,Less Than One Year,3.0,Professional
13934,Married,Master's Degree,Tenant,95000.0,2150.0,Male,3.0,21.0,2.0,Less Than One Year,2.0,Clerical
55897,Married,Bachelor's Degree,Tenant,15000.0,5250.0,Female,2.0,44.0,16.0,Unemployed,6.0,Professional
27331,Married,Master's Degree,Tenant,40000.0,2150.0,Male,2.0,38.0,6.0,Unemployed,3.0,Worker
81741,Single,Bachelor's Degree,Tenant,15000.0,2150.0,Male,3.0,45.0,29.0,Less Than Four Years,7.0,Technician
32069,Married,Bachelor's Degree,Owner,30000.0,4250.0,Female,2.0,31.0,7.0,Less Than One Year,3.0,Professional
51644,Married,Primary School Grad,Family Home,10000.0,500.0,Male,1.0,27.0,8.0,Less Than Seven Years,4.0,Technician
7612,Married,Bachelor's Degree,Owner,20000.0,4250.0,Male,1.0,56.0,14.0,Less Than One Year,3.0,Manager
88822,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,1.0,58.0,15.0,Unemployed,4.0,Clerical
77470,Single,Bachelor's Degree,Owner,35000.0,4250.0,Female,2.0,32.0,35.0,Less Than Seven Years,3.0,Professional
87154,Single,Bachelor's Degree,Tenant,10000.0,4250.0,Female,3.0,33.0,10.0,More Than Seven Years,4.0,Manager
85192,Single,Bachelor's Degree,Owner,55000.0,5250.0,Female,3.0,59.0,5.0,More Than Seven Years,3.0,Professional
75677,Single,Bachelor's Degree,Owner,45000.0,5250.0,Male,1.0,51.0,8.0,Less Than Seven Years,4.0,Manager
87193,Married,Bachelor's Degree,Owner,50000.0,4250.0,Male,3.0,60.0,5.0,More Than Seven Years,2.0,Professional
96328,Married,Bachelor's Degree,Owner,40000.0,6250.0,Female,1.0,23.0,15.0,Less Than Four Years,3.0,Professional
2889,Married,Master's Degree,Tenant,25000.0,2150.0,Female,1.0,21.0,2.0,More Than Seven Years,3.0,Professional
93357,Divorced,Master's Degree,Tenant,15000.0,2750.0,Female,2.0,53.0,36.0,Less Than One Year,3.0,Manager
54097,Married,Master's Degree,Tenant,35000.0,2750.0,Female,3.0,36.0,5.0,Less Than One Year,3.0,Manager
66324,Married,Master's Degree,Tenant,95000.0,2750.0,Male,2.0,69.0,1.0,Unemployed,3.0,Technician
10131,Single,Bachelor's Degree,Owner,45000.0,5250.0,Female,0.0,47.0,4.0,Unemployed,2.0,Professional
19731,Married,Master's Degree,Tenant,20000.0,3750.0,Female,3.0,62.0,15.0,Less Than Four Years,4.0,Technician
93345,Married,Primary School Grad,Tenant,45000.0,500.0,Male,1.0,54.0,8.0,Less Than One Year,3.0,Professional
25738,Married,Master's Degree,Tenant,20000.0,3750.0,Male,0.0,28.0,6.0,Unemployed,4.0,Clerical
90587,Married,Master's Degree,Tenant,15000.0,2150.0,Male,0.0,29.0,23.0,Less Than Seven Years,2.0,Clerical
54437,Married,Bachelor's Degree,Owner,40000.0,5250.0,Female,1.0,50.0,7.0,More Than Seven Years,5.0,Manager
19569,Married,Master's Degree,Tenant,10000.0,2150.0,Male,1.0,39.0,2.0,Unemployed,3.0,Army
46404,Single,Master's Degree,Tenant,15000.0,2750.0,Female,1.0,47.0,1.0,Less Than One Year,3.0,Farmer
36169,Single,Bachelor's Degree,Tenant,35000.0,2750.0,Female,1.0,54.0,37.0,Less Than Seven Years,5.0,Technician
14855,Married,Doctorate Degree,Tenant,30000.0,3750.0,Male,2.0,32.0,27.0,Less Than One Year,2.0,Professional
56235,Married,Master's Degree,Tenant,15000.0,2750.0,Male,1.0,25.0,12.0,Less Than One Year,2.0,Worker
88116,Married,Primary School Grad,Family Home,20000.0,500.0,Male,1.0,28.0,5.0,Unemployed,4.0,Worker
89614,Single,Bachelor's Degree,Tenant,25000.0,2150.0,Female,1.0,56.0,38.0,Less Than One Year,4.0,Worker
87948,Married,Bachelor's Degree,Owner,55000.0,6250.0,Female,1.0,61.0,11.0,Less Than Four Years,4.0,Professional
36145,Single,Master's Degree,Tenant,10000.0,2150.0,Male,3.0,32.0,10.0,Less Than One Year,2.0,Technician
33351,Single,Master's Degree,Tenant,40000.0,2750.0,Male,0.0,65.0,4.0,Unemployed,3.0,Professional
9972,Single,Master's Degree,Tenant,95000.0,2150.0,Female,0.0,50.0,2.0,Less Than Seven Years,2.0,Manager
30720,Single,Master's Degree,Tenant,25000.0,2150.0,Female,1.0,41.0,31.0,Unemployed,2.0,Farmer
28363,Married,Master's Degree,Tenant,35000.0,2750.0,Female,1.0,31.0,12.0,Unemployed,3.0,Army
60303,Divorced,Bachelor's Degree,Tenant,20000.0,2150.0,Male,2.0,24.0,28.0,More Than Seven Years,4.0,Technician
25705,Married,Bachelor's Degree,Owner,10000.0,5250.0,Male,2.0,18.0,20.0,Less Than One Year,5.0,Professional
32449,Married,Bachelor's Degree,Owner,30000.0,6250.0,Male,3.0,56.0,5.0,Less Than Seven Years,6.0,Professional
82269,Single,Bachelor's Degree,Owner,30000.0,4250.0,Female,3.0,25.0,70.0,Unemployed,3.0,Professional
35969,Married,Primary School Grad,Family Home,10000.0,500.0,Female,2.0,27.0,17.0,Less Than One Year,4.0,Farmer
91383,Married,Primary School Grad,Family Home,20000.0,500.0,Male,1.0,22.0,29.0,Less Than Four Years,3.0,Technician
85269,Married,Bachelor's Degree,Tenant,45000.0,5250.0,Male,0.0,34.0,11.0,Less Than One Year,6.0,Manager
47965,Married,Bachelor's Degree,Owner,55000.0,5250.0,Female,1.0,70.0,2.0,Unemployed,3.0,Manager
801,Married,Master's Degree,Tenant,30000.0,2150.0,Female,0.0,41.0,12.0,Less Than One Year,2.0,Manager
52683,Married,Doctorate Degree,Owner,105000.0,3750.0,Male,3.0,68.0,8.0,Less Than Seven Years,2.0,Manager
72918,Married,Bachelor's Degree,Tenant,45000.0,2750.0,Female,2.0,59.0,23.0,More Than Seven Years,7.0,Army
41941,Married,Master's Degree,Tenant,15000.0,2750.0,Female,2.0,55.0,12.0,More Than Seven Years,3.0,Professional
30984,Divorced,Bachelor's Degree,Tenant,30000.0,2150.0,Male,1.0,54.0,1.0,Unemployed,4.0,Clerical
77186,Single,Bachelor's Degree,Owner,20000.0,6250.0,Female,1.0,46.0,5.0,Less Than Seven Years,7.0,Professional
25368,Single,Bachelor's Degree,Owner,10000.0,4250.0,Male,3.0,43.0,16.0,More Than Seven Years,2.0,Professional
82809,Married,Bachelor's Degree,Tenant,30000.0,2750.0,Male,1.0,54.0,13.0,More Than Seven Years,4.0,Technician
37941,Single,Bachelor's Degree,Owner,15000.0,5250.0,Female,3.0,52.0,13.0,More Than Seven Years,4.0,Manager
39267,Married,Master's Degree,Tenant,95000.0,3750.0,Male,1.0,38.0,2.0,Less Than One Year,7.0,Clerical
92583,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Male,1.0,42.0,8.0,Less Than Four Years,4.0,Manager
93217,Married,Bachelor's Degree,Owner,15000.0,4250.0,Male,2.0,68.0,60.0,More Than Seven Years,4.0,Professional
17352,Married,Bachelor's Degree,Tenant,10000.0,2150.0,Male,2.0,39.0,12.0,Unemployed,5.0,Technician
45615,Single,Bachelor's Degree,Owner,10000.0,5250.0,Male,2.0,39.0,14.0,More Than Seven Years,3.0,Manager
52243,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,3.0,33.0,2.0,Unemployed,4.0,Worker
18320,Single,Master's Degree,Tenant,25000.0,3750.0,Female,1.0,18.0,54.0,Unemployed,4.0,Manager
32222,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Female,2.0,68.0,3.0,Less Than Seven Years,5.0,Manager
40477,Married,Bachelor's Degree,Owner,35000.0,6250.0,Male,0.0,40.0,11.0,Less Than One Year,3.0,Manager
6853,Married,Master's Degree,Tenant,75000.0,3750.0,Male,3.0,37.0,89.0,Less Than Four Years,6.0,Professional
35524,Married,Bachelor's Degree,Owner,20000.0,5250.0,Female,3.0,57.0,23.0,More Than Seven Years,2.0,Professional
6458,Divorced,Bachelor's Degree,Tenant,20000.0,2750.0,Male,2.0,64.0,10.0,Less Than One Year,6.0,Technician
80391,Married,Bachelor's Degree,Owner,95000.0,4250.0,Female,1.0,71.0,38.0,More Than Seven Years,4.0,Professional
78345,Married,Primary School Grad,Family Home,35000.0,500.0,Female,2.0,26.0,12.0,Less Than Seven Years,4.0,Army
13806,Married,Bachelor's Degree,Owner,30000.0,6250.0,Male,1.0,30.0,2.0,Less Than One Year,2.0,Manager
83536,Married,Bachelor's Degree,Owner,15000.0,5250.0,Male,3.0,44.0,21.0,Unemployed,3.0,Professional
39710,Single,Bachelor's Degree,Tenant,10000.0,2150.0,Female,0.0,36.0,39.0,More Than Seven Years,4.0,Manager
98912,Single,Bachelor's Degree,Tenant,15000.0,2750.0,Female,1.0,63.0,17.0,More Than Seven Years,7.0,Technician
95037,Single,Primary School Grad,Family Home,30000.0,500.0,Male,1.0,26.0,32.0,Less Than Four Years,2.0,Worker
36490,Married,Bachelor's Degree,Owner,55000.0,6250.0,Female,0.0,69.0,16.0,Less Than One Year,5.0,Professional
8077,Single,Master's Degree,Tenant,45000.0,2750.0,Female,1.0,45.0,32.0,More Than Seven Years,3.0,Army
2956,Married,Bachelor's Degree,Tenant,40000.0,2150.0,Female,1.0,63.0,1.0,Less Than Seven Years,7.0,Farmer
81552,Married,Master's Degree,Tenant,10000.0,2750.0,Male,1.0,50.0,13.0,Unemployed,3.0,Professional
38383,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,1.0,41.0,5.0,Less Than Seven Years,4.0,Clerical
10974,Married,Bachelor's Degree,Tenant,15000.0,5250.0,Female,2.0,36.0,56.0,Unemployed,7.0,Manager
45647,Married,Bachelor's Degree,Tenant,80000.0,2750.0,Male,3.0,61.0,12.0,Less Than Four Years,4.0,Manager
13444,Married,Master's Degree,Tenant,15000.0,2150.0,Male,1.0,28.0,10.0,Unemployed,3.0,Army
79360,Married,Bachelor's Degree,Owner,25000.0,5250.0,Male,1.0,59.0,11.0,Less Than One Year,4.0,Professional
61772,Divorced,Bachelor's Degree,Tenant,35000.0,2750.0,Female,2.0,62.0,13.0,More Than Seven Years,7.0,Farmer
46144,Single,Master's Degree,Tenant,35000.0,3750.0,Female,0.0,49.0,37.0,Less Than Four Years,4.0,Professional
75603,Married,Master's Degree,Tenant,30000.0,3750.0,Male,0.0,30.0,4.0,More Than Seven Years,4.0,Manager
28341,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Female,3.0,44.0,51.0,Less Than Four Years,5.0,Manager
42249,Single,Bachelor's Degree,Tenant,15000.0,2750.0,Female,0.0,53.0,28.0,Unemployed,2.0,Farmer
62182,Married,Bachelor's Degree,Tenant,20000.0,2150.0,Female,1.0,69.0,11.0,Unemployed,4.0,Technician
35169,Married,Master's Degree,Tenant,30000.0,2750.0,Male,0.0,37.0,23.0,Unemployed,3.0,Worker
57888,Married,Primary School Grad,Family Home,15000.0,500.0,Female,3.0,36.0,15.0,Unemployed,7.0,Technician
12397,Married,Bachelor's Degree,Owner,85000.0,4250.0,Male,1.0,56.0,25.0,Less Than Four Years,3.0,Manager
39291,Married,Bachelor's Degree,Owner,10000.0,5250.0,Male,3.0,20.0,93.0,Less Than Four Years,6.0,Manager
81238,Married,Master's Degree,Tenant,45000.0,2150.0,Male,1.0,64.0,29.0,More Than Seven Years,3.0,Clerical
90902,Single,Bachelor's Degree,Tenant,30000.0,2150.0,Female,3.0,38.0,23.0,Less Than One Year,4.0,Professional
76675,Single,Bachelor's Degree,Tenant,20000.0,2750.0,Female,2.0,69.0,12.0,Unemployed,5.0,Professional
26382,Married,Doctorate Degree,Owner,50000.0,3750.0,Male,2.0,68.0,33.0,Less Than One Year,3.0,Manager
97788,Married,Bachelor's Degree,Tenant,40000.0,2750.0,Male,0.0,64.0,8.0,Unemployed,4.0,Farmer
61716,Married,Bachelor's Degree,Owner,40000.0,6250.0,Male,3.0,52.0,52.0,More Than Seven Years,2.0,Manager
23296,Married,Primary School Grad,Family Home,20000.0,500.0,Female,3.0,27.0,7.0,More Than Seven Years,6.0,Farmer
18385,Married,Bachelor's Degree,Owner,65000.0,6250.0,Female,1.0,20.0,30.0,More Than Seven Years,3.0,Manager
34470,Single,Bachelor's Degree,Tenant,105000.0,5250.0,Female,3.0,34.0,28.0,Less Than Seven Years,5.0,Professional
38409,Married,Bachelor's Degree,Tenant,20000.0,4250.0,Female,2.0,22.0,22.0,Less Than One Year,5.0,Manager
94873,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,3.0,37.0,13.0,Unemployed,7.0,Worker
33892,Married,Master's Degree,Tenant,45000.0,3750.0,Male,0.0,57.0,43.0,More Than Seven Years,5.0,Professional
37289,Married,Bachelor's Degree,Tenant,105000.0,2150.0,Male,1.0,38.0,37.0,Less Than One Year,4.0,Army
66354,Single,Primary School Grad,Family Home,20000.0,500.0,Male,2.0,45.0,36.0,Less Than One Year,2.0,Technician
45771,Married,Bachelor's Degree,Owner,20000.0,6250.0,Male,0.0,45.0,12.0,More Than Seven Years,2.0,Manager
63171,Single,Master's Degree,Tenant,40000.0,2150.0,Female,2.0,52.0,5.0,Less Than Seven Years,2.0,Manager
73300,Single,Bachelor's Degree,Owner,55000.0,6250.0,Male,0.0,59.0,6.0,Less Than One Year,6.0,Manager
73263,Single,Bachelor's Degree,Owner,40000.0,5250.0,Female,1.0,50.0,11.0,Less Than One Year,2.0,Professional
42531,Married,Master's Degree,Tenant,35000.0,2150.0,Female,0.0,32.0,13.0,Less Than One Year,3.0,Clerical
34457,Single,Bachelor's Degree,Owner,45000.0,5250.0,Male,2.0,22.0,6.0,Less Than Four Years,4.0,Manager
75271,Divorced,Bachelor's Degree,Tenant,35000.0,2150.0,Female,0.0,26.0,16.0,Less Than One Year,6.0,Worker
46926,Single,Primary School Grad,Family Home,10000.0,500.0,Male,2.0,38.0,14.0,Unemployed,7.0,Manager
60148,Married,Master's Degree,Tenant,10000.0,3750.0,Female,3.0,68.0,6.0,Unemployed,4.0,Army
87459,Married,Master's Degree,Tenant,30000.0,3750.0,Female,2.0,45.0,33.0,Less Than Four Years,5.0,Worker
18595,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Female,3.0,55.0,2.0,Less Than One Year,4.0,Army
86029,Single,Primary School Grad,Tenant,20000.0,500.0,Male,1.0,54.0,33.0,Less Than Seven Years,4.0,Clerical
92815,Divorced,Bachelor's Degree,Tenant,10000.0,2150.0,Male,0.0,36.0,4.0,Less Than Four Years,4.0,Manager
80865,Married,Bachelor's Degree,Tenant,60000.0,2750.0,Male,3.0,59.0,29.0,Less Than Four Years,7.0,Technician
73508,Married,Bachelor's Degree,Tenant,15000.0,2750.0,Male,0.0,46.0,9.0,Less Than Four Years,4.0,Manager
4677,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Female,0.0,37.0,8.0,Less Than One Year,4.0,Army
84667,Single,Bachelor's Degree,Tenant,45000.0,5250.0,Female,0.0,34.0,14.0,Less Than One Year,4.0,Professional
87858,Married,Primary School Grad,Family Home,30000.0,500.0,Female,1.0,21.0,5.0,Unemployed,4.0,Farmer
53472,Single,Bachelor's Degree,Owner,55000.0,5250.0,Male,1.0,60.0,11.0,Unemployed,5.0,Professional
93324,Married,Bachelor's Degree,Owner,45000.0,5250.0,Female,3.0,67.0,8.0,Unemployed,3.0,Manager
51259,Married,Bachelor's Degree,Tenant,35000.0,2750.0,Female,3.0,61.0,14.0,Unemployed,4.0,Army
94625,Married,Bachelor's Degree,Owner,25000.0,5250.0,Male,2.0,57.0,15.0,Less Than Seven Years,2.0,Manager
25761,Married,Bachelor's Degree,Tenant,30000.0,6250.0,Female,3.0,38.0,23.0,Less Than One Year,6.0,Manager
81782,Married,Bachelor's Degree,Owner,15000.0,5250.0,Female,1.0,71.0,10.0,Less Than Seven Years,3.0,Manager
28549,Married,Bachelor's Degree,Tenant,20000.0,2750.0,Male,0.0,27.0,65.0,Less Than Seven Years,5.0,Technician
44648,Married,Master's Degree,Tenant,10000.0,2150.0,Male,2.0,43.0,20.0,Unemployed,3.0,Clerical
52186,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Female,1.0,34.0,7.0,Less Than Seven Years,4.0,Army
4331,Single,Master's Degree,Tenant,35000.0,2750.0,Male,1.0,31.0,35.0,Less Than Seven Years,3.0,Manager
70199,Married,Doctorate Degree,Owner,20000.0,3750.0,Male,0.0,57.0,15.0,Unemployed,3.0,Manager
5190,Married,Bachelor's Degree,Owner,20000.0,6250.0,Female,3.0,48.0,38.0,Less Than Seven Years,7.0,Manager
27862,Married,Bachelor's Degree,Tenant,15000.0,2150.0,Male,2.0,27.0,9.0,Less Than One Year,4.0,Technician
72232,Divorced,Master's Degree,Tenant,15000.0,2750.0,Male,0.0,29.0,90.0,Less Than Seven Years,3.0,Technician
35135,Married,Master's Degree,Tenant,15000.0,2750.0,Male,3.0,27.0,60.0,Unemployed,3.0,Technician
76693,Married,Bachelor's Degree,Owner,65000.0,6250.0,Female,1.0,67.0,21.0,Less Than One Year,6.0,Manager
75257,Married,Bachelor's Degree,Owner,40000.0,5250.0,Male,1.0,65.0,5.0,Unemployed,2.0,Manager
79464,Divorced,Bachelor's Degree,Tenant,25000.0,2750.0,Male,0.0,56.0,2.0,Unemployed,4.0,Clerical
71492,Married,Bachelor's Degree,Tenant,25000.0,2750.0,Male,0.0,63.0,19.0,Less Than Four Years,4.0,Professional
16142,Single,Bachelor's Degree,Owner,85000.0,5250.0,Female,1.0,45.0,77.0,Less Than One Year,4.0,Professional
34414,Single,Primary School Grad,Tenant,20000.0,500.0,Male,0.0,48.0,19.0,Less Than Seven Years,3.0,Clerical
37563,Married,Bachelor's Degree,Tenant,10000.0,2750.0,Male,0.0,37.0,13.0,Less Than Four Years,5.0,Clerical
